id,employee_id,customer_id,order_date,shipped_date,shipper_id,ship_name,ship_address,ship_city,ship_state_province,ship_zip_postal_code,ship_country_region,shipping_fee,taxes,payment_type,paid_date,notes,tax_rate,tax_status_id,status_id
sdv-id-eJiRln,1,1,2006-05-11 01:54:01,2006-05-17,1.0,Anna Bedecs,bcb2:7994:fa55:4dc1:1efe:23eb:1d8:bde9,Port Haley,Iowa,19068,USA,0.0,0.0,,2006-05-17,,0.0,,0
sdv-id-jYsjPH,9,29,2006-05-12 15:46:06,2006-04-19,2.0,Soo Jung Lee,5f68:6f1f:ad56:5391:5cfd:9340:4bd7:f03,Butlerside,Kentucky,31597,USA,0.0,0.0,Credit Card,2006-04-17,,0.0,,3
sdv-id-gqHgpm,3,29,2006-01-31 03:07:03,2006-02-09,1.0,Soo Jung Lee,b448:599a:f71:5f3c:569d:d8da:a294:2ee3,South Jeffreychester,Connecticut,42613,USA,44.0,0.0,Credit Card,2006-02-09,,0.0,,3
sdv-id-PEJcQD,1,6,2006-05-12 10:27:21,2006-05-08,2.0,Francisco Pérez-Olaeta,c285:a027:70a3:fa22:e007:7b47:da9b:6746,Lake Christina,Minnesota,06216,USA,14.0,0.0,Check,2006-05-10,,0.0,,3
sdv-id-twvIrv,3,10,2006-04-01 23:36:02,2006-02-16,,Amritansh Raghav,866e:205d:6ab3:f085:a4b4:9b29:421b:8bc,Amberland,West Virginia,88284,USA,1.0,0.0,,2006-02-18,,0.0,,3
sdv-id-JmFTJf,1,11,2006-06-02 07:51:18,,2.0,Roland Wacker,f787:115c:42ad:2554:b547:1d55:623d:1037,Paulville,Wisconsin,00980,USA,210.0,0.0,Check,2006-06-09,,0.0,,3
sdv-id-iWarNz,3,28,2006-05-05 07:41:06,2006-03-01,2.0,Amritansh Raghav,1c29:a8e6:b821:757c:3a05:384a:32e0:559e,South Victoria,Washington,05891,USA,0.0,0.0,,2006-03-02,,0.0,,0
sdv-id-LLypdj,3,4,2006-05-11 04:00:54,2006-02-21,2.0,Karen Toh,2547:47ee:2537:1d57:3d03:fa1c:e3a4:86b4,Suzannetown,Vermont,54881,USA,7.0,0.0,Credit Card,2006-02-19,,0.0,,3
sdv-id-qgcIdu,2,8,2006-06-05 02:57:38,2006-05-27,2.0,Elizabeth Andersen,3329:bbcd:f0eb:d8db:6b28:a67a:aba8:e6e2,Matthewston,West Virginia,88757,USA,67.0,0.0,Check,2006-05-28,,0.0,,0
sdv-id-bkupZP,3,6,2006-01-23 21:29:16,2006-02-07,3.0,Thomas Axen,5639:266d:8db9:1bc1:5881:a48a:998d:29a,South Mark,Washington,79981,USA,161.0,0.0,Check,,,0.0,,0
sdv-id-nbuCSM,2,12,2006-06-07 10:08:25,,3.0,Christina Lee,9dad:918e:7d7d:ffc7:5b2:9078:f540:2115,Sanchezside,Connecticut,44052,USA,0.0,0.0,,2006-06-01,,0.0,,3
sdv-id-HRKElv,4,8,2006-02-23 06:47:11,,,John Edwards,1cd3:e57e:5115:e057:2eb4:841a:b50f:bfe4,South David,New Mexico,28043,USA,238.0,0.0,,,,0.0,,3
sdv-id-yXxJnz,2,25,2006-06-07 18:45:10,,,John Rodman,780c:5e30:4a94:83cd:4385:74c1:a4db:1481,South Samuel,South Carolina,14219,USA,0.0,0.0,,,,0.0,,0
sdv-id-UpviSV,2,28,2006-05-02 15:41:41,,,Amritansh Raghav,c1d0:eec0:9a54:d18b:c53d:35ea:eaed:619c,East Francesfurt,Colorado,34788,USA,0.0,0.0,,,,0.0,,3
sdv-id-ZZpVIw,9,4,2006-01-15 00:00:00,,,Christina Lee,9a03:5177:fb21:2614:1480:58d7:ed24:f24a,Jamesview,Delaware,94676,USA,52.0,0.0,,,,0.0,,3
sdv-id-PMJWsm,2,6,2006-02-16 04:27:51,2006-02-26,,Amritansh Raghav,dcc0:e85a:2ed6:5a52:bfc7:6ca9:7967:d239,Elijahborough,South Carolina,80887,USA,0.0,0.0,Cash,2006-02-23,,0.0,,0
sdv-id-ZPdlQa,1,7,2006-02-27 15:09:02,2006-03-13,2.0,Roland Wacker,feb5:441:c5f:b283:ad7e:c411:e680:a56f,Lake Christinaton,Alabama,33418,USA,4.0,0.0,Credit Card,2006-03-13,,0.0,,3
sdv-id-MwJGEX,9,4,2006-04-03 04:07:54,,3.0,Christina Lee,f655:3c88:83ba:7275:3e6d:6064:7a28:9d72,Cisnerosland,Arizona,10334,USA,10.0,0.0,Check,,,0.0,,3
sdv-id-pLpwoI,9,8,2006-03-17 09:45:01,2006-03-13,2.0,Elizabeth Andersen,8b2a:8d31:fe52:9801:1a30:a7e4:43b1:2dac,Timothymouth,New Hampshire,40595,USA,287.0,0.0,Check,2006-03-12,,0.0,,3
sdv-id-ugFnvP,1,10,2006-04-22 06:57:02,,3.0,Roland Wacker,c426:d7e:6ff0:be4d:4e09:1b76:cf37:346f,Debrastad,Vermont,90063,USA,0.0,0.0,Check,2006-04-19,,0.0,,3
sdv-id-CYuvcf,3,9,2006-05-19 10:09:10,2006-05-12,2.0,Anna Bedecs,2be2:f082:4def:b0c5:2c3:64d3:3758:cc5f,East Madison,Maryland,12052,USA,18.0,0.0,Credit Card,2006-05-12,,0.0,,3
sdv-id-sdTDiI,2,6,2006-05-21 02:33:14,2006-05-25,3.0,Francisco Pérez-Olaeta,7645:de96:af6:3a74:940f:7148:9f8:1891,Port Nathan,Hawaii,03692,USA,0.0,0.0,Credit Card,2006-05-26,,0.0,,0
sdv-id-ZVMqWY,2,28,2006-05-08 16:55:35,2006-04-27,3.0,Amritansh Raghav,cc58:e546:ed7b:a6d2:24d3:1320:908:e2e,East Tylerside,Michigan,62325,USA,0.0,0.0,Credit Card,2006-04-28,,0.0,,3
sdv-id-dWVMYs,4,4,2006-05-13 20:46:48,2006-05-17,2.0,Christina Lee,a0c8:1122:e299:907a:9718:6d3c:3fb7:d103,Wendyberg,Washington,79288,USA,0.0,0.0,Check,2006-05-16,,0.0,,0
sdv-id-gukPwU,1,8,2006-03-06 04:24:56,2006-02-16,3.0,Elizabeth Andersen,120c:7e26:7d14:d36e:94b5:7be3:d400:85f4,Brucefort,Mississippi,71659,USA,0.0,0.0,Credit Card,2006-02-15,,0.0,,3
sdv-id-eOfigb,1,28,2006-03-12 14:20:07,2006-04-01,,Amritansh Raghav,287e:dd1e:db0b:a484:5d73:abab:edc4:fd00,Port Laurenchester,Maryland,76919,USA,0.0,0.0,,,,0.0,,2
sdv-id-MTZdFS,9,10,2006-04-10 20:43:40,2006-04-10,1.0,Roland Wacker,d793:f5a6:67ae:4ee5:9e1a:6b3e:7d96:92a2,Jesseborough,North Dakota,67214,USA,0.0,0.0,Check,2006-04-09,,0.0,,0
sdv-id-SGYAgv,9,4,2006-04-19 16:25:44,2006-04-17,2.0,Christina Lee,eee9:ae91:b75:1fda:2c19:ce76:6ebb:511a,Chavezberg,Georgia,23399,USA,49.0,0.0,Check,,,0.0,,0
sdv-id-bWBTOJ,9,8,2006-04-03 17:57:42,2006-05-21,2.0,Elizabeth Andersen,b510:a8db:c19b:aa6d:c985:f684:c9a:a25f,Rodriguezmouth,New Mexico,05082,USA,68.0,0.0,Check,2006-05-17,,0.0,,3
sdv-id-mUUkro,9,11,2006-05-30 13:54:39,2006-06-16,2.0,Roland Wacker,53e3:6b1d:8463:d852:425e:4f5a:434f:43b7,Johnberg,Hawaii,82040,USA,87.0,0.0,Check,2006-06-15,,0.0,,3
sdv-id-ccqfwl,9,6,2006-05-29 06:01:28,2006-04-05,2.0,Thomas Axen,143e:ee2:1f64:c976:fe8a:f2b8:ac:63a4,Antoniomouth,Arkansas,32616,USA,210.0,0.0,Credit Card,2006-03-31,,0.0,,0
sdv-id-ZUtPld,1,1,2006-06-05 16:05:02,2006-05-25,2.0,Ming-Yang Xie,8de7:d002:6c40:a76c:c956:cd80:cb4a:48dd,Richardton,Arkansas,22205,USA,0.0,0.0,Credit Card,2006-05-27,,0.0,,3
sdv-id-olElJd,9,29,2006-03-05 08:26:25,2006-03-15,2.0,Elizabeth Andersen,5177:989f:bd09:39fb:ab91:5e88:e081:52b5,East Courtneybury,Florida,85805,USA,63.0,0.0,Check,2006-03-16,,0.0,,3
sdv-id-cgbVfN,1,25,2006-06-03 20:30:48,2006-06-09,1.0,John Rodman,504f:4820:d2e0:996a:50aa:760c:3bb7:5dc6,Johnville,Montana,75779,USA,248.0,0.0,Check,2006-06-10,,0.0,,3
sdv-id-uOMDsT,1,4,2006-01-19 11:50:23,,,Christina Lee,1b6a:e61:ad83:f698:18e:8fbe:4438:5b34,North Ashley,North Carolina,79112,USA,0.0,0.0,,,,0.0,,0
